discharge,accumalted current ,SOC,,,charge ,accumalted current,SOC,,,,,,
-331.5,-372458.7,18.49295266,,,262.5,,,,,,,,
-163.5,-372622.2,18.5010706,,,232.8,,,,,,,,
-175.5,-372797.7,18.50978435,,,260.9,,,,,,,,
-234.2,-373031.9,18.52141262,,,255.5,,,,,,,,
-300.5,-373332.4,18.53633275,,,234.3,,,,,,,,
-318.6,-373651,18.55215156,,,260.9,,,,,,,,
-231.4,-373882.4,18.56364081,,,230.9,,,,,,,,
-304.8,-374187.2,18.57877444,,,260.5,,,,,,,,
-224.8,-374412,18.58993599,,,262.3,,,,,,,,
-246.4,-374658.4,18.60217,,,261,,,,,,,,
-317.2,-374975.6,18.6179193,,,254.9,,,,,,,,
-243.1,-375218.7,18.62998946,,,238.7,,,,,,,,
-246.3,-375465,18.64221851,,,241,,,,,,,,
-246.1,-375711.1,18.65443762,,,240,,,,,,,,
-179.4,-375890.5,18.66334501,,,260.1,,,,,,,,
-239.2,-376129.7,18.67522154,,,260,,,,,,,,
-177.2,-376306.9,18.6840197,,,260.8,,,,,,,,
-234.9,-376541.8,18.69568272,,,263.2,,,,,,,,
-220.5,-376762.3,18.70663077,,,231,,,,,,,,
-234.9,-376997.2,18.71829379,,,233.6,,,,,,,,
-198.9,-377196.1,18.72816938,,,238.2,,,,,,,,
-240.8,-377436.9,18.74012534,,,260.8,,,,,,,,
-246,-377682.9,18.75233949,,,261.7,,,,,,,,
-176.5,-377859.4,18.7611029,,,231.1,,,,,,,,
-246.3,-378105.7,18.77333194,,,260.4,,,,,,,,
-247.2,-378352.9,18.78560567,,,259.7,,,,,,,,
-247.7,-378600.6,18.79790423,,,230.2,,,,,,,,
-273.3,-378873.9,18.81147385,,,232.4,,,,,,,,
-247.6,-379121.5,18.82376744,,,230.7,,,,,,,,
-247.5,-379369,18.83605607,,,232,,,,,,,,
-265.7,-379634.7,18.84924835,,,259.3,,,,,,,,
-317.8,-379952.5,18.86502744,,,229,,,,,,,,
-246.8,-380199.3,18.87728131,,,259.5,,,,,,,,
-246.5,-380445.8,18.88952028,,,258.8,,,,,,,,
-245.8,-380691.6,18.9017245,,,239.6,,,,,,,,
-218.1,-380909.7,18.91255339,,,249.7,,,,,,,,
-263.9,-381173.6,18.92565629,,,245.6,,,,,,,,
-235,-381408.6,18.93732428,,,234.9,,,,,,,,
-245.4,-381654,18.94950864,,,252.1,,,,,,,,
-246.2,-381900.2,18.96173272,,,229.8,,,,,,,,
-305.8,-382206,18.976916,,,239.8,,,,,,,,
-317.6,-382523.6,18.99268516,,,243.7,,,,,,,,
-301.5,-382825.1,19.00765495,,,258,,,,,,,,
-246.3,-383071.4,19.01988399,,,259.8,,,,,,,,
-187.3,-383258.7,19.02918363,,,258.9,,,,,,,,
-247,-383505.7,19.04144743,,,258.8,,,,,,,,
-246,-383751.7,19.05366158,,,258,,,,,,,,
-229.4,-383981.1,19.06505152,,,258.1,,,,,,,,
-233.4,-384214.5,19.07664007,,,228.6,,,,,,,,
-308,-384522.5,19.09193258,,,258.7,,,,,,,,
-243.8,-384766.3,19.1040375,,,258.6,,,,,,,,
-247.1,-385013.4,19.11630626,,,241.9,,,,,,,,
-247,-385260.4,19.12857006,,,229.2,,,,,,,,
-188.5,-385448.9,19.13792928,,,258.4,,,,,,,,
-246.3,-385695.2,19.15015832,,,256.6,,,,,,,,
-185.5,-385880.7,19.15936859,,,257.4,,,,,,,,
-243.4,-386124.1,19.17145365,,,257.7,,,,,,,,
-244.4,-386368.5,19.18358835,,,257.6,,,,,,,,
-245.9,-386614.4,19.19579754,,,257.9,,,,,,,,
-246.9,-386861.3,19.20805637,,,257.7,,,,,,,,
-298.8,-387160.1,19.2228921,,,235.2,,,,,,,,
-266.4,-387426.5,19.23611913,,,256.7,,,,,,,,
-230.8,-387657.3,19.24757858,,,256.7,,,,,,,,
-269.5,-387926.8,19.26095953,,,233.7,,,,,,,,
-233.1,-388159.9,19.27253318,,,256.8,,,,,,,,
-245.6,-388405.5,19.28472747,,,256.5,,,,,,,,
-244.8,-388650.3,19.29688204,,,231.1,,,,,,,,
-304.8,-388955.1,19.31201567,,,227.6,,,,,,,,
-244,-389199.1,19.32413052,,,257.5,,,,,,,,
-304.3,-389503.4,19.33923932,,,245.1,,,,,,,,
-237.7,-389741.1,19.35104137,,,246.5,,,,,,,,
-174.4,-389915.5,19.35970051,,,255.9,,,,,,,,
-246.4,-390161.9,19.37193452,,,252.7,,,,,,,,
-302.1,-390464,19.38693409,,,241.3,,,,,,,,
-268.7,-390732.7,19.40027531,,,256.7,,,,,,,,
-161.1,-390893.8,19.40827409,,,246.6,,,,,,,,
-243,-391136.8,19.42033929,,,256,,,,,,,,
-246.8,-391383.6,19.43259316,,,256.5,,,,,,,,
-162.1,-391545.7,19.44064159,,,230.7,,,,,,,,
-312.7,-391858.4,19.45616746,,,254,,,,,,,,
-244.4,-392102.8,19.46830217,,,227.5,,,,,,,,
-246.5,-392349.3,19.48054115,,,255.9,,,,,,,,
-243.4,-392592.7,19.4926262,,,255.8,,,,,,,,
-233.5,-392826.2,19.50421972,,,257.8,,,,,,,,
-246.6,-393072.8,19.51646366,,,255.3,,,,,,,,
-298.4,-393371.2,19.53127952,,,254.8,,,,,,,,
-245.4,-393616.6,19.54346388,,,254.9,,,,,,,,
-228.7,-393845.3,19.55481907,,,240.3,,,,,,,,
-259.2,-394104.5,19.56768861,,,255.1,,,,,,,,
-229.9,-394334.4,19.57910338,,,255.9,,,,,,,,
-245.7,-394580.1,19.59130263,,,255.8,,,,,,,,
-245.4,-394825.5,19.60348699,,,254.2,,,,,,,,
-259.1,-395084.6,19.61635157,,,255.3,,,,,,,,
-246.7,-395331.3,19.62860047,,,224.9,,,,,,,,
-245.3,-395576.6,19.64077987,,,254.5,,,,,,,,
-245.5,-395822.1,19.65296919,,,254.6,,,,,,,,
-233.1,-396055.2,19.66454284,,,253.8,,,,,,,,
-309.5,-396364.7,19.67990983,,,255,,,,,,,,
-244.9,-396609.6,19.69206937,,,254.2,,,,,,,,
-268,-396877.6,19.70537584,,,254.5,,,,,,,,
-174.8,-397052.4,19.71405484,,,255.1,,,,,,,,
-245.6,-397298,19.72624913,,,254.2,,,,,,,,
-298,-397596,19.74104513,,,254.2,,,,,,,,
-245.9,-397841.9,19.75325431,,,254.3,,,,,,,,
-315.9,-398157.8,19.76893907,,,254,,,,,,,,
-245.8,-398403.6,19.78114329,,,226.6,,,,,,,,
-227.4,-398631,19.79243393,,,253.4,,,,,,,,
-245.2,-398876.2,19.80460836,,,253.3,,,,,,,,
-292.6,-399168.8,19.81913625,,,254,,,,,,,,
-292.7,-399461.5,19.8336691,,,254.1,,,,,,,,
-317.5,-399779,19.8494333,,,225.6,,,,,,,,
-275.9,-400054.9,19.86313201,,,256.8,,,,,,,,
-317.3,-400372.2,19.87888628,,,253.8,,,,,,,,
-245.6,-400617.8,19.89108057,,,253.9,,,,,,,,
-176.1,-400793.9,19.89982411,,,253.9,,,,,,,,
-236.6,-401030.5,19.91157154,,,253.7,,,,,,,,
-242.6,-401273.1,19.92361688,,,253.1,,,,,,,,
-257.8,-401530.9,19.93641691,,,253.3,,,,,,,,
-262,-401792.9,19.94942548,,,253.2,,,,,,,,
-228.8,-402021.7,19.96078563,,,253.1,,,,,,,,
-246.5,-402268.2,19.9730246,,,253.2,,,,,,,,
-245.4,-402513.6,19.98520896,,,254.1,,,,,,,,
-299.1,-402812.7,20.00005958,,,252.9,,,,,,,,
-175.5,-402988.2,20.00877333,,,253.6,,,,,,,,
-246.4,-403234.6,20.02100734,,,253.1,,,,,,,,
-256,-403490.6,20.033718,,,229.8,,,,,,,,
-245.4,-403736,20.04590236,,,252.7,,,,,,,,
-179.3,-403915.3,20.05480479,,,226,,,,,,,,
-311.3,-404226.6,20.07026115,,,252.6,,,,,,,,
-261.1,-404487.7,20.08322503,,,253.2,,,,,,,,
-227.4,-404715.1,20.09451567,,,252.1,,,,,,,,
-299.6,-405014.7,20.10939112,,,252.5,,,,,,,,
-239,-405253.7,20.12125771,,,251.8,,,,,,,,
-245.2,-405498.9,20.13343214,,,253.3,,,,,,,,
-176.8,-405675.7,20.14221044,,,225.3,,,,,,,,
-244.7,-405920.4,20.15436004,,,224.7,,,,,,,,
-244.7,-406165.1,20.16650965,,,252.3,,,,,,,,
-242.5,-406407.6,20.17855002,,,252,,,,,,,,
-178.6,-406586.2,20.18741769,,,233.9,,,,,,,,
-172.3,-406758.5,20.19597256,,,251.8,,,,,,,,
-172.2,-406930.7,20.20452246,,,252.3,,,,,,,,
-242.3,-407173,20.2165529,,,252.4,,,,,,,,
-245,-407418,20.2287174,,,252,,,,,,,,
-234.2,-407652.2,20.24034567,,,250.8,,,,,,,,
-309.6,-407961.8,20.25571762,,,251.5,,,,,,,,
-272.6,-408234.4,20.26925249,,,251,,,,,,,,
-233.6,-408468,20.28085097,,,251.3,,,,,,,,
-244.2,-408712.2,20.29297575,,,250.8,,,,,,,,
-317,-409029.2,20.30871512,,,251.5,,,,,,,,
-246.1,-409275.3,20.32093423,,,251.1,,,,,,,,
-241.5,-409516.8,20.33292495,,,251.4,,,,,,,,
-245.6,-409762.4,20.34511924,,,251.3,,,,,,,,
-241.8,-410004.2,20.35712486,,,250.2,,,,,,,,
-300.3,-410304.5,20.37203506,,,250.6,,,,,,,,
-245.5,-410550,20.38422438,,,251.7,,,,,,,,
-233.7,-410783.7,20.39582783,,,249.7,,,,,,,,
-244.1,-411027.8,20.40794764,,,250.3,,,,,,,,
-243,-411270.8,20.42001283,,,250.5,,,,,,,,
-298.1,-411568.9,20.4348138,,,250.3,,,,,,,,
-298.5,-411867.4,20.44963463,,,250.4,,,,,,,,
-264.2,-412131.6,20.46275243,,,250.7,,,,,,,,
-310.2,-412441.8,20.47815417,,,250,,,,,,,,
-278.7,-412720.5,20.49199191,,,250.4,,,,,,,,
-262.9,-412983.4,20.50504516,,,251,,,,,,,,
-172,-413155.4,20.51358514,,,250.7,,,,,,,,
-242.6,-413398,20.52563047,,,250.2,,,,,,,,
-244.6,-413642.6,20.53777511,,,249.8,,,,,,,,
-262.6,-413905.2,20.55081347,,,250.2,,,,,,,,
-226.3,-414131.5,20.56204949,,,249.1,,,,,,,,
-237.3,-414368.8,20.57383168,,,250,,,,,,,,
-245.7,-414614.5,20.58603094,,,249.4,,,,,,,,
-241.8,-414856.3,20.59803655,,,248.9,,,,,,,,
-291.9,-415148.2,20.61252968,,,249.3,,,,,,,,
-243.2,-415391.4,20.62460481,,,249.7,,,,,,,,
-227.9,-415619.3,20.63592028,,,250.1,,,,,,,,
-316,-415935.3,20.65161,,,248.8,,,,,,,,
-308.8,-416244.1,20.66694223,,,249.2,,,,,,,,
-249,-416493.1,20.67930533,,,248.6,,,,,,,,
-244.1,-416737.2,20.69142515,,,249.2,,,,,,,,
-245.2,-416982.4,20.70359957,,,249.6,,,,,,,,
-237.2,-417219.6,20.7153768,,,248.9,,,,,,,,
-272.9,-417492.5,20.72892656,,,249,,,,,,,,
-244.5,-417737,20.74106623,,,248.5,,,,,,,,
-244.4,-417981.4,20.75320094,,,248.9,,,,,,,,
-261.6,-418243,20.76618964,,,248.9,,,,,,,,
-254.9,-418497.9,20.77884569,,,249,,,,,,,,
-242.5,-418740.4,20.79088606,,,248.4,,,,,,,,
-243.6,-418984,20.80298105,,,247.9,,,,,,,,
-273.6,-419257.6,20.81656556,,,248.4,,,,,,,,
-293.1,-419550.7,20.83111828,,,247.9,,,,,,,,
-174.8,-419725.5,20.83979727,,,247.4,,,,,,,,
-310,-420035.5,20.85518909,,,248.4,,,,,,,,
-239.7,-420275.2,20.86709044,,,247.8,,,,,,,,
-240.9,-420516.1,20.87905137,,,248.5,,,,,,,,
-242.9,-420759,20.8911116,,,248.3,,,,,,,,
-241,-421000,20.90307749,,,267.9,,,,,,,,
-261.7,-421261.7,20.91607116,,,248.1,,,,,,,,
-308.5,-421570.2,20.9313885,,,248.6,,,,,,,,
-226.6,-421796.8,20.94263942,,,264.3,,,,,,,,
-241.7,-422038.5,20.95464007,,,247.5,,,,,,,,
-244.7,-422283.2,20.96678968,,,247.8,,,,,,,,
-243.4,-422526.6,20.97887473,,,247.4,,,,,,,,
-235.4,-422762,20.99056258,,,247.7,,,,,,,,
-310.1,-423072.1,21.00595936,,,251.5,,,,,,,,
-257.4,-423329.5,21.01873953,,,248.2,,,,,,,,
-298.5,-423628,21.03356036,,,247.1,,,,,,,,
-242.3,-423870.3,21.0455908,,,247.2,,,,,,,,
-277.2,-424147.5,21.05935407,,,246.3,,,,,,,,
-231,-424378.5,21.07082345,,,246.9,,,,,,,,
-174.7,-424553.2,21.07949748,,,245.6,,,,,,,,
-243,-424796.2,21.09156268,,,247.2,,,,,,,,
-238.3,-425034.5,21.10339452,,,247.3,,,,,,,,
-242.7,-425277.2,21.11544482,,,246.7,,,,,,,,
-243.8,-425521,21.12754973,,,246.8,,,,,,,,
-255.7,-425776.7,21.1402455,,,246.5,,,,,,,,
-242.9,-426019.6,21.15230573,,,246.2,,,,,,,,
-311,-426330.6,21.1677472,,,246.9,,,,,,,,
-253.6,-426584.2,21.18033869,,,245.8,,,,,,,,
-235.2,-426819.4,21.19201661,,,246.5,,,,,,,,
-261.5,-427080.9,21.20500035,,,246.2,,,,,,,,
-308.9,-427389.8,21.22033755,,,245.2,,,,,,,,
-296.6,-427686.4,21.23506404,,,245.3,,,,,,,,
-244.1,-427930.5,21.24718386,,,245.8,,,,,,,,
-256.8,-428187.3,21.25993424,,,246,,,,,,,,
-306.7,-428494,21.2751622,,,276,,,,,,,,
-273.6,-428767.6,21.28874672,,,246.8,,,,,,,,
-231.3,-428998.9,21.300231,,,256.1,,,,,,,,
-243,-429241.9,21.3122962,,,259.7,,,,,,,,
-241.7,-429483.6,21.32429685,,,245.9,,,,,,,,
-244.3,-429727.9,21.33642659,,,243.8,,,,,,,,
-312.4,-430040.3,21.35193757,,,273.1,,,,,,,,
-315,-430355.3,21.36757764,,,245,,,,,,,,
-266.4,-430621.7,21.38080467,,,245.6,,,,,,,,
-240.2,-430861.9,21.39273084,,,260.9,,,,,,,,
-241.8,-431103.7,21.40473646,,,245.6,,,,,,,,
-312.1,-431415.8,21.42023254,,,273.4,,,,,,,,
-296.3,-431712.1,21.43494414,,,275,,,,,,,,
-313.9,-432026,21.45052959,,,245,,,,,,,,
-257.1,-432283.1,21.46329487,,,245.3,,,,,,,,
-172,-432455.1,21.47183484,,,245.4,,,,,,,,
-225.9,-432681,21.48305101,,,245.9,,,,,,,,
-243.7,-432924.7,21.49515096,,,246,,,,,,,,
-243.2,-433167.9,21.50722608,,,268.7,,,,,,,,
-191.8,-433359.7,21.51674915,,,259.6,,,,,,,,
-231.3,-433591,21.52823343,,,245.3,,,,,,,,
-239.1,-433830.1,21.54010499,,,244.9,,,,,,,,
-269.3,-434099.4,21.55347601,,,244.9,,,,,,,,
-313.8,-434413.2,21.56905649,,,245.2,,,,,,,,
-243.8,-434657,21.58116141,,,249.9,,,,,,,,
-273.3,-434930.3,21.59473103,,,244.1,,,,,,,,
-240,-435170.3,21.60664728,,,244.9,,,,,,,,
-231.3,-435401.6,21.61813156,,,275,,,,,,,,
-303.1,-435704.7,21.63318078,,,241.3,,,,,,,,
-243.2,-435947.9,21.64525591,,,244.6,,,,,,,,
-181.5,-436129.4,21.65426757,,,244.9,,,,,,,,
-257.1,-436386.5,21.66703284,,,244.6,,,,,,,,
-304.6,-436691.1,21.68215654,,,244.1,,,,,,,,
-243.3,-436934.4,21.69423663,,,262.8,,,,,,,,
-311.1,-437245.5,21.70968307,,,242.8,,,,,,,,
-253.5,-437499,21.7222696,,,255.7,,,,,,,,
-241.7,-437740.7,21.73427025,,,243.3,,,,,,,,
-243.1,-437983.8,21.74634041,,,253.6,,,,,,,,
-237.4,-438221.2,21.75812756,,,243.3,,,,,,,,
-239.7,-438460.9,21.77002891,,,244.2,,,,,,,,
-231.9,-438692.8,21.78154298,,,243.6,,,,,,,,
-237.4,-438930.2,21.79333013,,,251.9,,,,,,,,
-240,-439170.2,21.80524637,,,264.8,,,,,,,,
-242.9,-439413.1,21.81730661,,,240.8,,,,,,,,
-268.6,-439681.7,21.83064287,,,273.7,,,,,,,,
-259.6,-439941.3,21.84353227,,,268.4,,,,,,,,
-154.9,-440096.2,21.85122321,,,263.6,,,,,,,,
-232,-440328.2,21.86274225,,,251.5,,,,,,,,
-242.1,-440570.3,21.87476276,,,243,,,,,,,,
-243.9,-440814.2,21.88687264,,,272,,,,,,,,
-240.1,-441054.3,21.89879385,,,272.7,,,,,,,,
-301.3,-441355.6,21.9137537,,,271,,,,,,,,
-226.7,-441582.3,21.92500959,,,240,,,,,,,,
-285.2,-441867.5,21.93917006,,,240.3,,,,,,,,
-242,-442109.5,21.9511856,,,273.5,,,,,,,,
-327.5,-442437,21.96744631,,,242.5,,,,,,,,
-240.6,-442677.6,21.97939235,,,242.8,,,,,,,,
-265,-442942.6,21.99254987,,,242,,,,,,,,
-254.9,-443197.5,22.00520591,,,242.6,,,,,,,,
-241.2,-443438.7,22.01718173,,,242.8,,,,,,,,
-242.2,-443680.9,22.02920721,,,240.5,,,,,,,,
-241.2,-443922.1,22.04118303,,,244.5,,,,,,,,
-243.1,-444165.2,22.0532532,,,240.7,,,,,,,,
-240.9,-444406.1,22.06521413,,,263.1,,,,,,,,
-239.8,-444645.9,22.07712044,,,263.7,,,,,,,,
-232.1,-444878,22.08864444,,,240.6,,,,,,,,
-229.9,-445107.9,22.10005921,,,242,,,,,,,,
-171.6,-445279.5,22.10857932,,,244.7,,,,,,,,
-242,-445521.5,22.12059487,,,242.2,,,,,,,,
-251.9,-445773.4,22.13310196,,,242.3,,,,,,,,
-282.7,-446056.1,22.1471383,,,242.1,,,,,,,,
-243.3,-446299.4,22.15921839,,,272.4,,,,,,,,
-255.4,-446554.8,22.17189926,,,268.9,,,,,,,,
-241.8,-446796.6,22.18390488,,,241.2,,,,,,,,
-240.5,-447037.1,22.19584595,,,250.6,,,,,,,,
-240.3,-447277.4,22.20777709,,,241.3,,,,,,,,
-172.7,-447450.1,22.21635182,,,241.4,,,,,,,,
-304.4,-447754.5,22.23146559,,,242.1,,,,,,,,
-241.2,-447995.7,22.24344141,,,241.4,,,,,,,,
-309.8,-448305.5,22.2588233,,,272.3,,,,,,,,
-313.8,-448619.3,22.27440378,,,238.9,,,,,,,,
-310.4,-448929.7,22.28981546,,,241.3,,,,,,,,
-307.2,-449236.9,22.30506825,,,271,,,,,,,,
-233.8,-449470.7,22.31667666,,,271.7,,,,,,,,
-304.4,-449775.1,22.33179043,,,240.8,,,,,,,,
-235.4,-450010.5,22.34347828,,,241.1,,,,,,,,
-241.7,-450252.2,22.35547893,,,241,,,,,,,,
-240.1,-450492.3,22.36740014,,,240.7,,,,,,,,
-178.2,-450670.5,22.37624795,,,240.6,,,,,,,,
-259.3,-450929.8,22.38912246,,,239.8,,,,,,,,
-230.8,-451160.6,22.40058191,,,240.4,,,,,,,,
-297.1,-451457.7,22.41533323,,,268,,,,,,,,
-235.4,-451693.1,22.42702108,,,238.3,,,,,,,,
-264.9,-451958,22.44017363,,,266.1,,,,,,,,
-269.1,-452227.1,22.45353472,,,237.6,,,,,,,,
-260.3,-452487.4,22.46645888,,,240.6,,,,,,,,
-230.9,-452718.3,22.4779233,,,237.9,,,,,,,,
-310.4,-453028.7,22.49333497,,,240.3,,,,,,,,
-294,-453322.7,22.50793237,,,241,,,,,,,,
-311.5,-453634.2,22.52339866,,,239.7,,,,,,,,
-233.4,-453867.6,22.53498721,,,240.4,,,,,,,,
-294.8,-454162.4,22.54962433,,,238.9,,,,,,,,
-314.5,-454476.9,22.56523957,,,239.7,,,,,,,,
-300.4,-454777.3,22.58015474,,,239.9,,,,,,,,
-233.4,-455010.7,22.59174328,,,270.1,,,,,,,,
-288.1,-455298.8,22.60604774,,,239.8,,,,,,,,
-230.1,-455528.9,22.61747244,,,237.5,,,,,,,,
-224.9,-455753.8,22.62863895,,,240.4,,,,,,,,
-241.7,-455995.5,22.6406396,,,267.5,,,,,,,,
-233.2,-456228.7,22.65221822,,,237.1,,,,,,,,
-281.8,-456510.5,22.66620988,,,268.7,,,,,,,,
-159.5,-456670,22.67412921,,,256.5,,,,,,,,
-232.2,-456902.2,22.68565818,,,256.8,,,,,,,,
-236,-457138.2,22.69737582,,,261.5,,,,,,,,
-239.8,-457378,22.70928213,,,240,,,,,,,,
-258,-457636,22.7220921,,,239.9,,,,,,,,
-312.8,-457948.8,22.73762293,,,239.1,,,,,,,,
-314.1,-458262.9,22.75321832,,,262.3,,,,,,,,
-240.2,-458503.1,22.76514449,,,263.4,,,,,,,,
-279.4,-458782.5,22.77901698,,,236.6,,,,,,,,
-313.4,-459095.9,22.79457761,,,238.9,,,,,,,,
-239.2,-459335.1,22.80645414,,,266.2,,,,,,,,
-270.9,-459606,22.8199046,,,246.2,,,,,,,,
-176.9,-459782.9,22.82868786,,,254.4,,,,,,,,
-171.3,-459954.2,22.83719308,,,256.7,,,,,,,,
-241.8,-460196,22.84919869,,,239.2,,,,,,,,
-296.3,-460492.3,22.86391029,,,236.1,,,,,,,,
-254.4,-460746.7,22.87654151,,,268.3,,,,,,,,
-169.5,-460916.2,22.88495736,,,238.7,,,,,,,,
-306.1,-461222.3,22.90015553,,,238.7,,,,,,,,
-296,-461518.3,22.91485223,,,236.2,,,,,,,,
-171.1,-461689.4,22.92334752,,,268.7,,,,,,,,
-235.2,-461924.6,22.93502544,,,237.2,,,,,,,,
-239.4,-462164,22.94691189,,,256.5,,,,,,,,
-168.5,-462332.5,22.95527809,,,238.3,,,,,,,,
-232.7,-462565.2,22.96683188,,,250,,,,,,,,
-240.9,-462806.1,22.97879281,,,251.8,,,,,,,,
-230,-463036.1,22.99021254,,,266.7,,,,,,,,
-223.3,-463259.4,23.00129962,,,266.8,,,,,,,,
-239,-463498.4,23.01316621,,,253.8,,,,,,,,
-238.1,-463736.5,23.02498811,,,245,,,,,,,,
-253.6,-463990.1,23.03757961,,,266.5,,,,,,,,
-313.9,-464304,23.05316507,,,267.8,,,,,,,,
-225.2,-464529.2,23.06434647,,,264.8,,,,,,,,
-239.2,-464768.4,23.076223,,,264.5,,,,,,,,
-239.5,-465007.9,23.08811442,,,237.1,,,,,,,,
-223.2,-465231.1,23.09919652,,,237.8,,,,,,,,
-234.4,-465465.5,23.11083472,,,263.7,,,,,,,,
-239.6,-465705.1,23.1227311,,,235.3,,,,,,,,
-239,-465944.1,23.1345977,,,236.5,,,,,,,,
-305,-466249.1,23.14974126,,,267.2,,,,,,,,
-252.8,-466501.9,23.16229303,,,267.8,,,,,,,,
-253.8,-466755.7,23.17489446,,,267.5,,,,,,,,
-305.4,-467061.1,23.19005788,,,236.6,,,,,,,,
-234,-467295.1,23.20167622,,,236.4,,,,,,,,
-233.8,-467528.9,23.21328463,,,264,,,,,,,,
-302.2,-467831.1,23.22828916,,,261.7,,,,,,,,
-291.5,-468122.6,23.24276243,,,236.5,,,,,,,,
-240.7,-468363.3,23.25471343,,,235.6,,,,,,,,
-242.3,-468605.6,23.26674387,,,265,,,,,,,,
-175.8,-468781.4,23.27547252,,,264.5,,,,,,,,
-229.5,-469010.9,23.28686743,,,256.3,,,,,,,,
-287.5,-469298.4,23.3011421,,,235.9,,,,,,,,
-270.4,-469568.8,23.31456773,,,236.6,,,,,,,,
-239.5,-469808.3,23.32645915,,,266.9,,,,,,,,
-274.4,-470082.7,23.34008339,,,263.8,,,,,,,,
-290.4,-470373.1,23.35450204,,,265.8,,,,,,,,
-167.6,-470540.7,23.36282355,,,260.7,,,,,,,,
-303.7,-470844.4,23.37790257,,,252,,,,,,,,
-240.4,-471084.8,23.38983867,,,237,,,,,,,,
-294.8,-471379.6,23.40447579,,,265.4,,,,,,,,
-231.7,-471611.3,23.41597993,,,266.7,,,,,,,,
-261,-471872.3,23.42893885,,,238.4,,,,,,,,
-253.3,-472125.6,23.44151545,,,263.8,,,,,,,,
-294.6,-472420.2,23.45614264,,,239.4,,,,,,,,
-312,-472732.2,23.47163375,,,264.4,,,,,,,,
-239.9,-472972.1,23.48354503,,,263.7,,,,,,,,
-306.4,-473278.5,23.4987581,,,264.8,,,,,,,,
-238.2,-473516.7,23.51058498,,,258.6,,,,,,,,
-241.2,-473757.9,23.5225608,,,259.4,,,,,,,,
-239.9,-473997.8,23.53447208,,,243.6,,,,,,,,
-178.4,-474176.2,23.54332982,,,248.6,,,,,,,,
-171.6,-474347.8,23.55184993,,,298.2,,,,,,,,
-309.5,-474657.3,23.56721692,,,264.1,,,,,,,,
-261.8,-474919.1,23.58021556,,,261.8,,,,,,,,
-252.8,-475171.9,23.59276734,,,242,,,,,,,,
-222.4,-475394.3,23.60380972,,,239.9,,,,,,,,
-295.3,-475689.6,23.61847167,,,234.9,,,,,,,,
-241,-475930.6,23.63043756,,,234.1,,,,,,,,
-234.3,-476164.9,23.64207079,,,265.6,,,,,,,,
-239.2,-476404.1,23.65394732,,,264.5,,,,,,,,
-237.8,-476641.9,23.66575433,,,234.6,,,,,,,,
-249.7,-476891.6,23.67815219,,,263.9,,,,,,,,
-238.2,-477129.8,23.68997906,,,257,,,,,,,,
-293.6,-477423.4,23.7045566,,,237.9,,,,,,,,
-293.7,-477717.1,23.7191391,,,232.4,,,,,,,,
-294.4,-478011.5,23.73375636,,,263.2,,,,,,,,
-253.5,-478265,23.74634289,,,235.3,,,,,,,,
-303.4,-478568.4,23.76140701,,,260.5,,,,,,,,
-238.9,-478807.3,23.77326864,,,248.7,,,,,,,,
-231.2,-479038.5,23.78474795,,,253.9,,,,,,,,
-270.5,-479309,23.79817855,,,245.4,,,,,,,,
-267.2,-479576.2,23.8114453,,,263.5,,,,,,,,
-220,-479796.2,23.82236853,,,264,,,,,,,,
-309.6,-480105.8,23.83774048,,,262,,,,,,,,
-222.8,-480328.6,23.84880273,,,231.7,,,,,,,,
-251.3,-480579.9,23.86128003,,,233,,,,,,,,
-304.7,-480884.6,23.87640869,,,264.9,,,,,,,,
-233.5,-481118.1,23.8880022,,,263.9,,,,,,,,
-230.4,-481348.5,23.8994418,,,253.5,,,,,,,,
-174.8,-481523.3,23.9081208,,,261.7,,,,,,,,
-294.5,-481817.8,23.92274302,,,262.3,,,,,,,,
-294.6,-482112.4,23.93737021,,,232.2,,,,,,,,
-239.6,-482352,23.94926659,,,262.3,,,,,,,,
-230.3,-482582.3,23.96070122,,,253.2,,,,,,,,
-239.9,-482822.2,23.9726125,,,250.8,,,,,,,,
-225.7,-483047.9,23.98381873,,,261,,,,,,,,
-252.5,-483300.4,23.99635562,,,262,,,,,,,,
-222.8,-483523.2,24.00741786,,,262.3,,,,,,,,
-233.3,-483756.5,24.01900144,,,263.3,,,,,,,,
-231.2,-483987.7,24.03048076,,,261.5,,,,,,,,
-231.2,-484218.9,24.04196007,,,264.7,,,,,,,,
-237.4,-484456.3,24.05374722,,,237.7,,,,,,,,
-170.8,-484627.1,24.06222762,,,237.6,,,,,,,,
-310.1,-484937.2,24.0776244,,,259,,,,,,,,
-311.7,-485248.9,24.09310062,,,262.6,,,,,,,,
-303.3,-485552.2,24.10815977,,,250.5,,,,,,,,
-295.1,-485847.3,24.12281179,,,233,,,,,,,,
-236.7,-486084,24.13456418,,,244.4,,,,,,,,
-236.6,-486320.6,24.14631161,,,242.3,,,,,,,,
-282.9,-486603.5,24.16035788,,,250,,,,,,,,
-309.5,-486913,24.17572487,,,242.7,,,,,,,,
-231.7,-487144.7,24.18722901,,,259.8,,,,,,,,
-241.9,-487386.6,24.19923959,,,261.3,,,,,,,,
-273.8,-487660.4,24.21283404,,,261.5,,,,,,,,
-294,-487954.4,24.22743144,,,260.5,,,,,,,,
