discharge,accumalted current ,SOC,,,charge ,accumalted current,SOC,,,,,,
-224.4,-26075.2,1.294660157,,,235.5,,,,,,,,
-213.1,-26288.3,1.305240789,,,231.6,,,,,,,,
-216.9,-26505.2,1.316010094,,,229.7,,,,,,,,
-133.4,-26638.6,1.32263354,,,260.3,,,,,,,,
-273.6,-26912.2,1.336218057,,,244.5,,,,,,,,
-200.8,-27113,1.346187981,,,251.4,,,,,,,,
-211,-27324,1.356664345,,,256.6,,,,,,,,
-284.2,-27608.2,1.370775164,,,252.2,,,,,,,,
-226.7,-27834.9,1.382031049,,,250.8,,,,,,,,
-282.8,-28117.7,1.396072356,,,248.3,,,,,,,,
-269.5,-28387.2,1.409453305,,,245.7,,,,,,,,
-273,-28660.2,1.423008032,,,253.1,,,,,,,,
-255,-28915.2,1.435669041,,,244.1,,,,,,,,
-272.2,-29187.4,1.449184048,,,252.5,,,,,,,,
-267.9,-29455.3,1.462485555,,,239.6,,,,,,,,
-280.9,-29736.2,1.476432525,,,245.3,,,,,,,,
-265.7,-30001.9,1.4896248,,,263.6,,,,,,,,
-266,-30267.9,1.50283197,,,265.4,,,,,,,,
-233.3,-30501.2,1.514415552,,,261.9,,,,,,,,
-271.6,-30772.8,1.527900767,,,260.3,,,,,,,,
-211.5,-30984.3,1.538401957,,,259.2,,,,,,,,
-283.2,-31267.5,1.552463125,,,258.4,,,,,,,,
-240.4,-31507.9,1.564399229,,,255.5,,,,,,,,
-198.4,-31706.3,1.57424999,,,254,,,,,,,,
-236.5,-31942.8,1.585992456,,,252.4,,,,,,,,
-282.1,-32224.9,1.599999007,,,250.4,,,,,,,,
-216.9,-32441.8,1.610768312,,,248.8,,,,,,,,
-242.6,-32684.4,1.622813649,,,247.7,,,,,,,,
-281.9,-32966.3,1.63681027,,,274.3,,,,,,,,
-198.2,-33164.5,1.646651101,,,253.8,,,,,,,,
-274.3,-33438.8,1.660270375,,,242.1,,,,,,,,
-199.3,-33638.1,1.670165822,,,240.3,,,,,,,,
-206.6,-33844.7,1.680423722,,,253.6,,,,,,,,
-280.2,-34124.9,1.694335936,,,266.7,,,,,,,,
-272.1,-34397,1.707845978,,,265,,,,,,,,
-144.5,-34541.5,1.715020549,,,258.2,,,,,,,,
-258.8,-34800.3,1.727870232,,,237.1,,,,,,,,
-139.9,-34940.2,1.734816409,,,260,,,,,,,,
-227.8,-35168,1.74612691,,,241.9,,,,,,,,
-282.6,-35450.6,1.760158287,,,228.8,,,,,,,,
-237,-35687.6,1.771925578,,,227.6,,,,,,,,
-197.4,-35885,1.781726689,,,253.8,,,,,,,,
-244.5,-36129.5,1.793866362,,,253.3,,,,,,,,
