0,79.53,-0.90,1,0.00
1,47.72,-0.20,2,0.00
1,79.53,0.30,2,0.00
1,95.44,0.10,3,0.00
1,119.30,0.20,3,0.00
1,143.16,0.20,4,0.00
1,159.07,0.10,4,0.00
1,174.97,0.10,5,0.00
1,190.88,0.10,5,0.00
1,206.79,0.50,6,0.00
1,222.70,0.20,6,0.00
1,230.65,0.00,7,0.00
1,246.56,0.00,7,0.00
1,254.51,0.10,8,0.00
1,262.46,0.30,8,0.00
1,278.37,0.40,9,0.00
1,286.32,-0.20,9,0.00
1,286.32,-0.10,10,0.00
1,294.28,0.10,10,0.00
1,294.28,0.10,11,0.00
1,294.28,-0.10,11,0.00
1,302.23,0.10,12,0.00
1,302.23,0.10,12,0.00
1,302.23,-0.10,13,0.00
1,302.23,-0.10,13,0.00
1,294.28,0.10,14,0.00
1,294.28,0.00,14,0.00
1,294.28,0.20,15,0.00
1,286.32,-0.20,15,0.00
1,286.32,-0.10,16,0.00
1,286.32,0.00,16,0.00
1,278.37,0.30,17,0.00
1,278.37,0.00,17,0.00
1,270.42,0.20,18,0.00
1,270.42,0.10,18,0.00
1,262.46,0.00,19,0.00
1,262.46,0.10,19,0.00
1,254.51,0.00,20,0.00
1,254.51,0.00,20,0.00
1,246.56,0.00,21,0.00
1,238.60,0.00,21,0.00
1,238.60,-0.20,22,0.00
1,230.65,0.10,22,0.00
1,222.70,0.10,23,0.00
1,222.70,0.00,23,0.00
1,214.74,-0.10,24,0.00
1,206.79,-0.10,24,0.00
1,206.79,0.00,25,0.00
1,198.83,0.20,25,0.00
1,190.88,0.10,26,0.00
1,190.88,0.10,26,0.00
1,182.93,0.00,27,0.00
1,182.93,-0.10,27,0.00
1,174.97,0.00,28,0.00
1,174.97,0.20,28,0.00
1,167.02,-0.10,29,0.00
1,159.07,0.00,29,0.00
1,159.07,0.10,30,0.00
1,151.11,0.10,30,0.00
1,151.11,-0.20,31,0.00
1,143.16,-0.10,31,0.00
1,135.21,-0.10,32,0.00
1,135.21,0.20,32,0.00
1,135.21,0.00,33,0.00
1,127.25,-0.40,33,0.00
1,127.25,0.10,34,0.00
1,127.25,0.30,34,0.00
1,127.25,0.10,35,0.00
1,119.30,-0.20,35,0.00
1,119.30,0.00,36,0.00
1,119.30,-0.20,36,0.00
1,119.30,0.00,37,0.00
1,111.35,0.00,37,0.00
1,119.30,0.00,38,0.00
1,111.35,-0.10,38,0.00
1,111.35,0.00,39,0.00
1,111.35,0.10,39,0.00
1,119.30,-0.20,40,0.00
1,119.30,-0.20,40,0.00
1,119.30,-0.20,41,0.00
1,119.30,0.00,41,0.00
1,119.30,0.00,42,0.00
1,119.30,-0.10,42,0.00
1,119.30,0.10,43,0.00
1,119.30,0.10,43,0.00
1,119.30,-0.10,44,0.00
1,127.25,-0.10,44,0.00
1,127.25,-0.10,45,0.00
1,127.25,0.10,45,0.00
1,127.25,0.00,46,0.00
1,127.25,0.10,46,0.00
1,127.25,0.20,47,0.00
1,127.25,-0.10,47,0.00
1,127.25,-0.20,48,0.00
1,127.25,-0.10,48,0.00
1,127.25,0.20,49,0.00
1,127.25,0.00,49,0.00
1,127.25,0.00,50,0.00
1,127.25,0.00,50,0.00
1,119.30,-0.10,51,0.00
1,119.30,0.00,51,0.00
1,119.30,-0.10,52,0.00
1,119.30,-0.20,52,0.00
1,111.35,-0.20,53,0.00
1,111.35,-0.30,53,0.00
1,111.35,-0.10,54,0.00
1,103.39,-0.20,54,0.00
1,103.39,-0.10,55,0.00
1,103.39,-0.40,55,0.00
1,103.39,-0.20,56,0.00
1,95.44,0.10,56,0.00
1,95.44,0.10,57,0.00
1,87.49,-0.10,57,0.00
1,87.49,-0.10,58,0.00
1,87.49,0.10,58,0.00
1,79.53,-0.20,59,0.00
1,79.53,0.10,59,0.00
1,71.58,-0.10,60,0.00
1,71.58,0.10,60,0.00
1,63.63,0.00,61,0.00
1,63.63,-0.30,61,0.00
1,55.67,0.00,62,0.00
1,55.67,-0.20,62,0.00
1,55.67,-0.10,63,0.00
1,47.72,-0.20,63,0.00
1,47.72,-0.10,64,0.00
1,39.77,-0.10,64,0.00
1,39.77,-0.30,65,0.00
1,39.77,-0.10,65,0.00
1,31.81,-0.10,66,0.00
1,31.81,0.10,66,0.00
1,31.81,-0.20,67,0.00
1,31.81,-0.30,67,0.00
1,31.81,-0.20,68,0.00
1,31.81,-0.30,68,0.00
1,31.81,0.20,69,0.00
1,23.86,-0.30,69,0.00
1,31.81,0.20,70,0.00
1,31.81,0.10,70,0.00
1,31.81,0.00,71,0.00
1,31.81,-0.10,71,0.00
1,31.81,0.20,72,0.00
1,31.81,-0.10,72,0.00
1,31.81,-0.10,73,0.00
1,31.81,0.00,73,0.00
1,39.77,0.00,74,0.00
1,39.77,0.00,74,0.00
1,39.77,0.10,75,0.00
1,39.77,-0.10,75,0.00
1,47.72,-0.10,76,0.00
1,47.72,0.00,76,0.00
1,47.72,-0.20,77,0.00
1,47.72,-0.10,77,0.00
1,55.67,-0.20,78,0.00
1,55.67,0.40,78,0.00
1,55.67,0.00,79,0.00
1,55.67,0.00,79,0.00
1,63.63,-0.10,80,0.00
1,63.63,0.00,80,0.00
1,63.63,-0.20,81,0.00
1,63.63,-0.20,81,0.00
1,63.63,0.00,82,0.00
1,63.63,0.00,82,0.00
1,63.63,-0.20,83,0.00
1,71.58,0.10,83,0.00
1,71.58,0.20,84,0.00
1,71.58,-0.30,84,0.00
1,71.58,0.00,85,0.00
1,71.58,0.00,85,0.00
1,71.58,-0.10,86,0.00
