3825.58,-43.2,1
3817.63,-39.6,1
3821.61,-42.5,1
3821.61,-40.6,2
3817.63,-40.9,2
3817.63,-39.3,2
3817.63,-39.2,2
3817.63,-40,2
3829.56,-43.3,3
3817.63,-39.3,3
3813.65,-43.4,3
3805.7,-39.5,3
3809.68,-42.8,3
3805.7,-42.1,4
3801.72,-40,4
3785.82,-43.4,4
3777.86,-39.1,4
3789.79,-43.7,4
3781.84,-39.2,5
3789.79,-42.9,5
3773.89,-41.7,5
3773.89,-41.5,5
3765.93,-41.2,5
3777.86,-42.8,6
3773.89,-43.4,6
3777.86,-40.3,6
3777.86,-43,6
3837.51,-42,6
3829.56,-43,7
4068.16,-44.2,7
4068.16,-52.9,7
4068.16,-42.6,7
4068.16,-54,7
4068.16,-43.4,8
4068.16,-52.1,8
4068.16,-46.2,8
4068.16,-49.3,8
4068.16,-46.2,8
4068.16,-54.3,9
4068.16,-43.1,9
4068.16,-54,9
4068.16,-45.2,9
4068.16,-50.9,9
4068.16,-49.4,10
4068.16,-44,10
4068.16,-44.3,10
4068.16,-52.7,10
4068.16,-48.5,10
4068.16,-53.8,11
4068.16,-44.1,11
4068.16,-55.5,11
4068.16,-55.5,11
4068.16,-44.9,11
4068.16,-53,12
4068.16,-52.1,12
4068.16,-46.2,12
4068.16,-55.9,12
4068.16,-44.5,12
4068.16,-54.4,13
4068.16,-47.9,13
4068.16,-50,13
4068.16,-54,13
4068.16,-45.1,13
4068.16,-56.3,14
4068.16,-45.9,14
4068.16,-50.8,14
4068.16,-55.3,14
4068.16,-45.2,14
4068.16,-45.3,15
4068.16,-54.7,15
4068.16,-49.5,15
4068.16,-50.4,15
4068.16,-54.7,15
4068.16,-46,16
4068.16,-57.3,16
4068.16,-46.9,16
4068.16,-55,16
4068.16,-51.3,16
4068.16,-50.3,17
4068.16,-56.4,17
4068.16,-46.8,17
4068.16,-46.7,17
4068.16,-57.6,17
4068.16,-49.9,18
4068.16,-54.8,18
4068.16,-49.5,18
4068.16,-58.9,18
4068.16,-59,18
4068.16,-49.3,19
4068.16,-53.8,19
4068.16,-56.2,19
4068.16,-48.4,19
4068.16,-58.2,19
4068.16,-47.6,20
4068.16,-59.1,20
4068.16,-49.6,20
4068.16,-50.5,20
4068.16,-54.2,20
4068.16,-56.3,21
4068.16,-49.6,21
4068.16,-60.2,21
4068.16,-48.3,21
4068.16,-59.5,21
4068.16,-54.4,22
4068.16,-52.1,22
4068.16,-59.2,22
4068.16,-61,22
4068.16,-60.3,22
4068.16,-53.9,23
